molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"54576041",0,2,0,0,0,5,0,1,389.453,6.302,681.294,281.221,112.754,287.319,0.000,1237.896,2.000,6.750,0.0320807,0.0140115,0.8183773,42.920,12.998,21.153,12.555,2.608,-2.938,-3.485,-7.293,52.536,-0.063,25.065,-6.231,8.086,0.873,4,0.432,3,73.007,0.000,0.000,78.976,6,0,24,0,24,4,29,0,0.000
"1939911",0,1,0,0,0,5,0,1,388.465,3.130,627.520,223.639,125.737,278.143,0.000,1184.083,2.000,5.250,0.0082725,0.0118317,0.8625667,40.679,12.546,19.433,10.974,3.317,-3.706,-4.586,-5.808,158.648,-0.466,74.816,-4.440,8.019,0.722,4,0.582,3,85.750,0.000,0.000,72.004,5,0,25,0,18,6,29,0,0.003
"1939911",0,1,0,0,0,5,0,1,388.465,5.621,667.477,245.701,120.490,301.286,0.000,1223.919,2.000,5.250,0.0258175,0.0111234,0.8290181,42.494,13.014,20.208,11.192,3.609,-4.392,-4.586,-6.462,177.909,-0.508,84.680,-4.261,8.074,0.841,4,0.667,3,88.350,0.000,0.000,75.405,5,0,25,0,18,6,29,0,0.001
"71460306",1,0,0,0,0,1,1,-1,186.118,1.445,343.454,0.000,142.265,109.863,91.326,532.713,2.000,3.700,0.0039201,0.0152352,0.9253218,15.572,4.927,10.148,8.646,0.897,-1.743,-2.126,-3.264,443.407,-0.380,649.934,-3.658,9.179,0.806,0,-0.576,3,79.573,91.326,0.000,72.768,4,0,9,0,9,0,13,0,0.738
"71460306",1,0,0,0,0,1,1,-1,186.118,1.807,343.343,0.000,142.482,109.376,91.485,532.700,2.000,3.700,0.0061289,0.0152401,0.9256040,15.567,4.927,10.178,8.644,0.896,-1.742,-2.126,-3.257,441.310,-0.381,647.911,-3.664,9.256,0.820,0,-0.576,3,79.525,91.485,0.000,72.959,4,0,9,0,9,0,13,0,0.730
"71456593",0,0,0,0,0,2,1,-1,180.163,5.365,369.852,92.946,148.488,128.417,0.000,581.443,2.000,4.450,0.0494981,0.0170156,0.9109098,17.058,6.076,11.246,9.364,0.190,-1.501,-1.819,-3.586,387.067,-0.750,177.336,-3.612,8.730,0.116,1,-0.601,3,74.374,0.000,0.000,80.757,5,0,9,0,9,0,13,0,1.500
"71456593",0,0,0,0,0,2,1,-1,180.163,8.440,370.243,93.145,148.811,128.288,0.000,582.086,2.000,4.450,0.1223779,0.0169976,0.9106185,17.082,6.081,12.254,9.366,0.191,-1.505,-1.819,-3.590,384.352,-0.753,175.992,-3.618,8.732,0.258,1,-0.600,3,74.325,0.000,0.000,81.025,5,0,9,0,9,0,13,0,1.459
"58469132",5,1,0,0,0,7,2,1,673.929,6.834,982.479,876.335,106.145,0.000,0.000,2022.245,2.000,13.550,0.0230930,0.0195043,0.7871621,70.282,17.950,33.913,17.537,4.893,-6.528,-6.022,-5.702,243.350,-0.602,118.801,-4.866,9.482,-1.038,3,1.043,1,85.347,0.000,0.000,109.478,9,1,32,7,25,28,48,1,0.000
"53466872",3,1,0,0,0,7,2,-1,617.865,4.890,935.692,797.822,137.870,0.000,0.000,1900.449,3.000,11.050,0.0125831,0.0204545,0.7929933,65.407,17.330,32.293,16.643,4.839,-6.644,-6.042,-5.608,121.725,-0.922,56.187,-5.451,9.491,-1.046,3,1.215,1,79.643,0.000,0.000,108.568,8,1,28,3,25,25,44,1,0.000
"53466872",2,1,0,0,0,7,2,-1,617.865,6.272,918.167,782.356,135.811,0.000,0.000,1867.038,3.000,11.050,0.0210665,0.0208450,0.7986301,64.070,16.983,31.946,16.587,4.652,-6.350,-6.042,-5.517,127.324,-0.879,58.985,-5.413,9.503,-1.034,3,1.135,1,78.901,0.000,0.000,108.636,8,1,28,3,25,25,44,1,0.000
"60170342",0,1,0,0,0,14,0,-2,369.457,4.167,724.717,395.307,174.428,154.983,0.000,1263.882,4.000,10.300,0.0137371,0.0284249,0.7800707,36.917,13.289,23.255,16.619,1.033,-2.294,-2.033,-6.556,54.790,-1.793,23.709,-4.907,8.749,-0.260,7,-0.569,2,64.114,0.000,0.000,106.075,7,0,12,0,12,5,26,1,0.023
