molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"11364483",1,0,0,0,0,9,1,-2,525.624,14.945,762.208,327.240,220.905,213.430,0.633,1504.651,0.000,12.500,0.1484408,0.0000000,0.8331347,50.321,15.142,25.996,14.835,1.747,-3.654,-6.442,-5.250,79.626,-2.099,32.358,-3.975,8.353,0.710,4,-0.740,2,45.285,0.000,0.000,125.452,11,2,20,0,20,3,37,0,0.012
"11364483",0,0,0,0,0,9,1,-2,525.624,11.796,779.005,331.789,219.296,227.920,0.000,1526.513,0.000,12.500,0.0911492,0.0000000,0.8230477,51.335,15.452,25.542,14.963,1.916,-3.969,-6.442,-5.482,82.473,-2.137,33.344,-3.894,8.440,0.788,4,-0.676,2,46.544,0.000,0.000,124.792,11,2,20,0,20,3,37,0,0.007
"11364483",1,0,0,0,0,9,1,-2,525.624,18.321,729.266,287.647,217.758,223.861,0.000,1478.256,0.000,12.500,0.2270640,0.0000000,0.8605549,49.365,14.902,26.844,14.805,1.607,-3.027,-6.442,-4.856,85.290,-1.939,34.576,-3.880,8.435,0.687,4,-0.817,2,44.996,0.000,0.000,124.124,11,2,20,0,20,3,37,0,0.065
"11364483",0,0,0,0,0,9,1,-2,525.624,9.270,787.589,348.079,220.771,218.738,0.000,1531.976,0.000,12.500,0.0560960,0.0000000,0.8160187,51.466,15.475,25.069,14.931,1.930,-4.132,-6.442,-5.552,79.859,-2.189,32.203,-3.954,8.417,0.689,4,-0.661,2,46.379,0.000,0.000,124.515,11,2,20,0,20,3,37,0,0.004
"11307004",1,0,0,0,1,9,0,-2,524.640,22.688,808.225,363.831,198.015,246.378,0.000,1566.890,1.000,13.000,0.3285114,0.0160846,0.8072193,53.127,16.084,31.014,17.220,1.893,-5.356,-5.950,-4.452,123.402,-2.005,55.099,-3.437,8.265,0.657,4,-0.502,2,49.541,0.000,3.367,130.279,11,2,20,0,20,3,37,0,0.001
"11307004",1,0,0,0,1,9,0,-2,524.640,18.476,826.420,392.120,189.830,244.470,0.000,1575.684,1.000,13.000,0.2166481,0.0157305,0.7923991,53.461,16.178,29.482,17.614,1.989,-5.478,-5.950,-4.683,133.017,-1.994,66.840,-3.293,8.256,0.717,4,-0.491,2,50.686,0.000,9.024,128.277,11,2,20,0,20,3,37,0,0.001
"11307004",0,0,0,0,1,9,0,-2,524.640,8.070,805.127,352.302,206.973,245.852,0.000,1565.247,1.000,13.000,0.0416032,0.0161465,0.8097592,53.056,16.116,27.111,19.022,1.822,-4.520,-5.950,-4.408,65.751,-2.083,44.599,-3.604,8.684,0.847,4,-0.504,2,44.234,0.000,27.044,127.561,11,2,20,0,20,3,37,0,0.004
"11307004",1,0,0,0,1,9,0,-2,524.640,15.972,839.949,404.699,201.192,234.058,0.000,1591.082,1.000,13.000,0.1603255,0.0154771,0.7847062,53.977,16.374,28.896,17.655,1.987,-5.708,-5.950,-4.757,103.732,-2.157,51.118,-3.539,8.235,0.580,4,-0.458,2,48.744,0.000,9.055,129.838,11,2,20,0,20,3,37,1,0.000
"44455436",0,0,0,0,0,9,0,-2,591.658,12.043,825.543,219.409,256.467,349.667,0.000,1619.676,0.000,16.500,0.0895504,0.0000000,0.8079371,56.226,17.451,29.744,20.096,0.461,-2.757,-6.473,-6.307,36.629,-2.598,13.868,-4.150,9.206,1.255,6,-1.476,2,31.716,0.000,0.000,165.613,12,2,27,0,27,2,41,0,0.073
"44455436",2,0,0,0,0,9,0,-2,591.658,12.704,855.043,193.491,243.244,418.308,0.000,1645.243,0.000,16.500,0.0981028,0.0000000,0.7882496,57.905,18.196,30.403,20.544,0.800,-3.316,-6.473,-6.953,48.890,-2.589,18.947,-3.665,9.225,1.520,6,-1.402,2,35.944,0.000,0.000,156.331,12,2,27,0,27,2,41,0,0.062
